Id,Severity,Status,Title,Create Time,Team,Owner
52837310,3,RESOLVED,[UCMA_Azure_DataFactory_ExecutionReliabilityV2] AzureDataFactory [UcmMonitoringDataFactory_AttainmentRefresh_Prod_FailedExecution] is unhealthy.,11/29/2017 6:14:04 AM +00:00,UCM Account Management A+P,raphr
52837309,3,RESOLVED,[UCMA_Azure_DataFactory_ExecutionReliabilityV2] AzureDataFactory [MDBAccountAttributes-Staging_UcmStagingAccountAttributesForUpdate_Prod_FailedExecution] is unhealthy.,11/29/2017 6:14:04 AM +00:00,UCM Account Management A+P,v-ruchit
52837271,3,RESOLVED,[UCMA_Azure_DataFactory_ExecutionReliabilityV2] AzureDataFactory [UcmRevenueDataFactory_FactDailyRevenueAudit_PROD_FailedExecution] is unhealthy.,11/29/2017 6:13:53 AM +00:00,UCM Account Management A+P,
52836334,3,RESOLVED,UCM Business Analytics - Production Data Factories Monitor,11/29/2017 6:08:43 AM +00:00,UCM Business Analytics,v-chaspa
52831007,3,RESOLVED,Ticketing Job Dispatcher Reliability for Creator is below SLA,11/29/2017 4:38:09 AM +00:00,UCM Ticketing & Engagement,v-smitak
52829778,3,RESOLVED,[UCMA_Azure_DataFactory_ExecutionReliabilityV2] AzureDataFactory [UcmMonitoringDataFactory_AttainmentRefresh_Prod_FailedExecution] is unhealthy.,11/29/2017 4:14:11 AM +00:00,UCM Account Management A+P,
52821984,3,RESOLVED,[UCMA_Azure_DataFactory_ExecutionReliabilityV2] AzureDataFactory [UcmMonitoringDataFactory_AttainmentRefresh_Prod_FailedExecution] is unhealthy.,11/29/2017 2:14:05 AM +00:00,UCM Account Management A+P,
52821973,3,RESOLVED,[UCMA_Azure_DataFactory_ExecutionReliabilityV2] AzureDataFactory [UcmRevenueDataFactory_FactDailyRevenueAudit_PROD_FailedExecution] is unhealthy.,11/29/2017 2:13:56 AM +00:00,UCM Account Management A+P,raphr
52819128,3,RESOLVED,[ALERT ACTIVATED] - UcmRevenueAlert  happened for datafactories UcmRevenueDataFactory,11/29/2017 1:24:14 AM +00:00,UCM Account Management A+P,raphr
52819124,3,RESOLVED,[ALERT ACTIVATED] - UcmRevenueAlert  happened for datafactories UcmRevenueDataFactory,11/29/2017 1:24:12 AM +00:00,UCM Account Management A+P,raphr
52816115,2,RESOLVED,Production Deployment failing for Release 1145162-2,11/29/2017 1:02:31 AM +00:00,UCM Daily Shipping,guofzh
52811787,3,RESOLVED,[UCMA_Azure_DataFactory_ExecutionReliabilityV2] AzureDataFactory [UcmMonitoringDataFactory_AttainmentRefresh_Prod_FailedExecution] is unhealthy.,11/29/2017 12:13:59 AM +00:00,UCM Account Management A+P,raphr
52804774,3,RESOLVED,[UCMA_Azure_DataFactory_ExecutionReliabilityV2] AzureDataFactory [UcmMonitoringDataFactory_AttainmentRefresh_Prod_FailedExecution] is unhealthy.,11/28/2017 10:14:05 PM +00:00,UCM Account Management A+P,raphr
52799190,3,RESOLVED,[UCMA_Azure_DataFactory_ExecutionReliabilityV2] AzureDataFactory [UcmMonitoringDataFactory_AttainmentRefresh_Prod_FailedExecution] is unhealthy.,11/28/2017 8:15:00 PM +00:00,UCM Account Management A+P,raphr
52799156,3,RESOLVED,[UCMA_Azure_DataFactory_ExecutionReliabilityV2] AzureDataFactory [MDBAccountAttributes-Staging_UcmStagingAccountAttributesForUpdate_PROD_FailedExecution] is unhealthy.,11/28/2017 8:14:03 PM +00:00,UCM Account Management A+P,v-vepate
52789441,3,RESOLVED,[UCMA_Azure_DataFactory_ExecutionReliabilityV2] AzureDataFactory [UcmMonitoringDataFactory_AttainmentRefresh_Prod_FailedExecution] is unhealthy.,11/28/2017 6:14:52 PM +00:00,UCM Account Management A+P,raphr
52778541,3,RESOLVED,[UCMA_Azure_DataFactory_ExecutionReliabilityV2] AzureDataFactory [UcmMonitoringDataFactory_AttainmentRefresh_Prod_FailedExecution] is unhealthy.,11/28/2017 4:14:52 PM +00:00,UCM Account Management A+P,raphr
52773500,3,RESOLVED,[UCMA_Azure_DataFactory_ExecutionReliabilityV2] AzureDataFactory [UcmMonitoringDataFactory_AttainmentRefresh_Prod_FailedExecution] is unhealthy.,11/28/2017 2:20:04 PM +00:00,UCM Account Management A+P,raphr
52773495,3,RESOLVED,UCMT: ASD/CAP Ticket's team mapping not found in UCMT,11/28/2017 2:19:48 PM +00:00,UCM Ticketing & Engagement,brwojcik
52769813,3,RESOLVED,[UCMA_Azure_DataFactory_ExecutionReliabilityV2] AzureDataFactory [UcmMonitoringDataFactory_AttainmentRefresh_Prod_FailedExecution] is unhealthy.,11/28/2017 12:20:07 PM +00:00,UCM Account Management A+P,raphr
52769240,2,RESOLVED,UCM-A UserAction Reliability is below SLA,11/28/2017 12:06:57 PM +00:00,UCM Data Visualization Framework,
52765731,3,RESOLVED,[UCMA_Azure_DataFactory_ExecutionReliabilityV2] AzureDataFactory [UcmMonitoringDataFactory_AttainmentRefresh_Prod_FailedExecution] is unhealthy.,11/28/2017 10:20:07 AM +00:00,UCM Account Management A+P,raphr
52764392,3,RESOLVED,[Support] [UCMA] Opportunites Appearing as Rejected by user thherr,11/28/2017 9:50:11 AM +00:00,UCM Opportunities,yarashwa
52761352,3,RESOLVED,[UCMA_Azure_DataFactory_ExecutionReliabilityV2] AzureDataFactory [UcmMonitoringDataFactory_AttainmentRefresh_Prod_FailedExecution] is unhealthy.,11/28/2017 8:19:59 AM +00:00,UCM Account Management A+P,raphr
52757170,3,RESOLVED,[UCMA_Azure_DataFactory_ExecutionReliabilityV2] AzureDataFactory [UcmMonitoringDataFactory_AttainmentRefresh_PROD_FailedExecution] is unhealthy.,11/28/2017 6:13:58 AM +00:00,UCM Account Management A+P,raphr
52752576,3,RESOLVED,[UCMA_Azure_DataFactory_ExecutionReliabilityV2] AzureDataFactory [UcmMonitoringDataFactory_AttainmentRefresh_Prod_FailedExecution] is unhealthy.,11/28/2017 4:22:41 AM +00:00,UCM Account Management A+P,raphr
52752414,3,RESOLVED,Ticketing Job Dispatcher Reliability for Creator is below SLA,11/28/2017 4:17:48 AM +00:00,UCM Ticketing & Engagement,v-smitak
52751015,2,RESOLVED,[UCM-CloudTest-CI] [Excessive Retry] GridExportWithFilters,11/28/2017 3:49:59 AM +00:00,UCM Data Visualization Framework,jieych
52750362,2,RESOLVED,[UCM-CloudTest-CI] [Excessive Retry] ProgrammaticTacticsTest,11/28/2017 3:30:47 AM +00:00,UCM Opportunities,rany
52750359,2,RESOLVED,[UCM-CloudTest-CI] [Excessive Retry] ShareOpportunities,11/28/2017 3:30:46 AM +00:00,UCM Opportunities,rany
